gcodein,mcu_awake,mcu_task_avg,mcu_task_stddev,bytes_write,bytes_read,bytes_retransmit,bytes_invalid,send_seq,receive_seq,retransmit_seq,srtt,rttvar,rto,ready_bytes,upcoming_bytes,freq,sd_pos,heater_bed_target,temp,pwm,sysload,cputime,memavail,print_time,buffer_time
0,0.003,1.3e-05,8e-06,1943320,1590415,9,0,73719,73719,2,0.003,0.001,0.025,0,54,71998643,355,60,60.0,0.254,0.11,121.57,3421728,5309.299,0.0
0,0.003,1.5e-05,1.1e-05,1944077,1590878,9,0,73751,73750,2,0.003,0.001,0.025,0,45,71998641,355,60,60.0,0.168,0.11,121.606,3421728,5310.113,0.0
0,0.003,1.5e-05,1.1e-05,1944981,1591440,9,0,73791,73790,2,0.003,0.001,0.025,0,45,71998641,355,60,60.0,0.073,0.11,121.651,3421728,5311.141,0.0
0,0.003,1.5e-05,1.1e-05,1945599,1592020,9,0,73829,73828,2,0.003,0.001,0.025,0,45,71998639,355,60,60.0,0.304,0.18,121.693,3421728,5312.111,0.0
0,0.003,1.5e-05,1.1e-05,1946087,1592549,9,0,73865,73864,2,0.003,0.001,0.025,0,45,71998640,355,60,60.0,0.246,0.18,121.728,3421728,5313.111,0.0
0,0.003,1.5e-05,1.1e-05,1946602,1593108,9,0,73904,73903,2,0.003,0.001,0.025,0,54,71998639,355,60,60.0,0.244,0.18,121.765,3421508,5314.111,0.0
0,0.007,1.8e-05,1e-05,1947155,1593706,9,0,73945,73944,2,0.003,0.001,0.025,0,45,71998638,355,60,60.0,0.149,0.18,121.804,3421508,5315.111,0.0
0,0.007,1.8e-05,1e-05,1948816,1594357,9,0,73999,73998,2,0.003,0.001,0.025,16,71,71998641,355,60,60.0,0.188,0.18,121.857,3421508,5318.185,2.244
0,0.007,1.8e-05,1e-05,1948994,1594636,9,0,74010,74009,2,0.003,0.001,0.025,0,71,71998642,355,60,60.1,0.0,0.17,121.878,3421508,5318.185,1.244
0,0.007,1.8e-05,1e-05,1949142,1594924,9,0,74020,74019,2,0.004,0.001,0.025,0,71,71998642,355,60,59.9,0.663,0.17,121.898,3421508,5318.185,0.243
0,0.007,1.8e-05,1e-05,1949325,1595193,9,0,74032,74031,2,0.003,0.001,0.025,0,45,71998642,355,60,60.0,0.16,0.17,121.92,3421508,5318.185,0.0
0,0.005,1.7e-05,1.2e-05,1949856,1595648,9,0,74056,74055,2,0.003,0.001,0.025,0,45,71998640,355,60,60.0,0.201,0.17,121.95,3421508,5320.14,0.0
0,0.005,1.7e-05,1.2e-05,1950574,1596211,9,0,74093,74092,2,0.003,0.001,0.025,0,45,71998639,355,60,60.0,0.295,0.17,121.989,3421508,5321.14,0.0
0,0.005,1.7e-05,1.2e-05,1951241,1596740,9,0,74129,74128,2,0.003,0.001,0.025,0,45,71998639,355,60,60.0,0.218,0.15,122.025,3421520,5322.14,0.0
0,0.005,1.7e-05,1.2e-05,1951935,1597289,9,0,74166,74165,2,0.003,0.001,0.025,0,45,71998637,355,60,60.0,0.261,0.15,122.064,3421524,5323.14,0.0
0,0.005,1.7e-05,1.2e-05,1952625,1597852,9,0,74202,74202,2,0.003,0.001,0.025,0,54,71998636,355,60,60.0,0.135,0.15,122.103,3421272,5324.14,0.0
0,0.006,1.7e-05,9e-06,1953879,1598475,9,0,74250,74249,2,0.003,0.001,0.025,0,45,71998635,355,60,60.0,0.146,0.15,122.145,3421272,5325.69,0.0
0,0.006,1.7e-05,9e-06,1954410,1598856,9,0,74273,74272,2,0.003,0.001,0.025,0,45,71998635,355,60,60.0,0.156,0.15,122.174,3421272,5326.14,0.0
0,0.006,1.7e-05,9e-06,1955093,1599477,9,0,74314,74313,2,0.003,0.001,0.025,0,53,71998634,355,60,60.0,0.224,0.14,122.216,3421272,5327.008,0.059
0,0.006,1.7e-05,9e-06,1957422,1600037,9,0,74366,74365,2,0.003,0.0,0.025,0,53,71998637,382,60,60.0,0.258,0.14,122.258,3421272,5331.134,3.184
0,0.006,1.7e-05,9e-06,1957574,1600316,9,0,74377,74376,2,0.003,0.001,0.025,0,53,71998638,382,60,60.0,0.299,0.14,122.279,3421272,5331.134,2.183
0,0.007,2e-05,1.4e-05,1957806,1600629,9,0,74389,74388,2,0.003,0.001,0.025,0,53,71998641,382,60,60.0,0.243,0.14,122.304,3421272,5331.155,0.0
0,0.007,2e-05,1.4e-05,1957998,1600903,9,0,74402,74401,2,0.003,0.001,0.025,0,45,71998642,382,60,60.0,0.294,0.14,122.326,3421272,5331.155,0.0
0,0.007,2e-05,1.4e-05,1959401,1601531,9,0,74450,74449,2,0.003,0.001,0.025,0,45,71998646,382,60,60.0,0.059,0.21,122.371,3421272,5332.49,0.0
0,0.007,2e-05,1.4e-05,1960984,1602111,9,0,74494,74493,2,0.003,0.001,0.025,0,45,71998643,382,60,60.0,0.151,0.21,122.416,3421272,5334.444,0.0
0,0.007,2e-05,1.4e-05,1961152,1602380,9,0,74506,74505,2,0.003,0.001,0.025,0,45,71998642,382,60,60.0,0.181,0.21,122.437,3421272,5334.444,0.0
0,0.006,1.9e-05,1.4e-05,1961871,1602848,9,0,74535,74534,2,0.003,0.0,0.025,0,45,71998641,382,60,60.0,0.26,0.21,122.47,3421280,5335.144,0.0
0,0.006,1.9e-05,1.4e-05,1963101,1603384,9,0,74573,74572,2,0.003,0.001,0.025,0,45,71998643,382,60,60.0,0.198,0.21,122.508,3421280,5336.13,0.0
0,0.006,1.9e-05,1.4e-05,1964272,1603857,9,0,74607,74606,2,0.003,0.001,0.025,0,45,71998645,382,60,60.0,0.251,0.19,122.544,3421280,5337.738,0.0
0,0.006,1.9e-05,1.4e-05,1964839,1604233,9,0,74629,74628,2,0.003,0.001,0.025,0,45,71998644,382,60,60.0,0.051,0.19,122.572,3421280,5338.138,0.0
0,0.006,1.9e-05,1.4e-05,1966002,1604788,9,0,74670,74667,2,0.003,0.0,0.025,0,45,71998645,382,60,60.0,0.343,0.19,122.614,3421280,5339.174,0.0
0,0.007,2.1e-05,1.5e-05,1967446,1605354,9,0,74712,74711,2,0.004,0.001,0.025,0,45,71998646,382,60,60.0,0.277,0.19,122.656,3421280,5341.035,0.0
0,0.007,2.1e-05,1.5e-05,1967729,1605648,9,0,74726,74725,2,0.003,0.001,0.025,0,45,71998645,382,60,60.0,0.298,0.19,122.679,3421280,5341.135,0.0
0,0.007,2.1e-05,1.5e-05,1969036,1606280,9,0,74772,74771,2,0.003,0.0,0.025,0,45,71998647,382,60,60.0,0.194,0.18,122.724,3421280,5342.374,0.0
0,0.007,2.1e-05,1.5e-05,1970614,1606831,9,0,74816,74815,2,0.003,0.001,0.025,0,45,71998648,382,60,60.0,0.194,0.18,122.769,3421280,5344.335,0.0
0,0.007,2.1e-05,1.5e-05,1970793,1607115,9,0,74828,74827,2,0.003,0.001,0.025,0,45,71998648,382,60,60.0,0.359,0.18,122.79,3421280,5344.335,0.0
0,0.007,2.1e-05,1.5e-05,1971584,1607712,9,0,74864,74863,2,0.004,0.001,0.025,0,45,71998646,382,60,60.0,0.218,0.18,122.83,3421308,5345.192,0.231
0,0.007,2.1e-05,1.5e-05,1972793,1608132,9,0,74897,74894,2,0.003,0.001,0.025,0,45,71998648,382,60,60.0,0.363,0.18,122.868,3421308,5346.179,0.0
0,0.007,2.1e-05,1.5e-05,1973915,1608582,9,0,74927,74926,2,0.003,0.001,0.025,0,45,71998650,382,60,60.0,0.341,0.16,122.9,3421308,5347.641,0.0
0,0.007,2.1e-05,1.5e-05,1974525,1608991,9,0,74950,74949,2,0.003,0.001,0.025,0,45,71998648,382,60,60.0,0.17,0.16,122.928,3421308,5348.141,0.0
0,0.007,2.1e-05,1.5e-05,1975677,1609512,9,0,74988,74987,2,0.003,0.001,0.025,0,45,71998648,382,60,60.0,0.276,0.16,122.969,3421308,5349.133,0.0
0,0.007,2.1e-05,1.5e-05,1977072,1610064,9,0,75029,75028,2,0.003,0.001,0.025,0,45,71998649,382,60,60.0,0.255,0.16,123.011,3421308,5350.877,0.0
0,0.007,2.1e-05,1.5e-05,1977565,1610415,9,0,75046,75045,2,0.003,0.001,0.025,0,45,71998649,382,60,60.0,0.049,0.16,123.038,3421308,5351.177,0.0
0,0.007,2.1e-05,1.5e-05,1978647,1610960,9,0,75086,75085,2,0.003,0.0,0.025,0,45,71998649,382,60,60.0,0.234,0.15,123.079,3421308,5352.224,0.0
0,0.007,2.1e-05,1.5e-05,1980203,1611521,9,0,75129,75128,2,0.003,0.001,0.025,0,45,71998650,382,60,60.0,0.288,0.15,123.121,3421416,5354.188,0.0
0,0.007,2.1e-05,1.5e-05,1980386,1611824,9,0,75142,75141,2,0.003,0.001,0.025,0,45,71998649,382,60,60.0,0.118,0.15,123.142,3421416,5354.188,0.0
0,0.007,2.1e-05,1.5e-05,1981776,1612447,9,0,75189,75188,2,0.003,0.001,0.025,16,45,71998647,382,60,60.0,0.315,0.15,123.187,3421440,5355.53,0.0
0,0.007,2.1e-05,1.5e-05,1983339,1613008,9,0,75232,75231,2,0.003,0.001,0.025,16,45,71998645,382,60,60.0,0.212,0.15,123.23,3421440,5357.493,0.0
0,0.007,2.1e-05,1.5e-05,1983518,1613301,9,0,75243,75242,2,0.003,0.001,0.025,0,45,71998647,382,60,60.0,0.247,0.14,123.252,3421440,5357.493,0.0
0,0.007,2.1e-05,1.5e-05,1984209,1613720,9,0,75271,75270,2,0.003,0.001,0.025,0,45,71998646,382,60,60.0,0.306,0.14,123.284,3421440,5358.143,0.0
0,0.007,2.1e-05,1.5e-05,1985469,1614266,9,0,75311,75310,2,0.003,0.001,0.025,0,45,71998652,382,60,60.0,0.224,0.14,123.322,3421440,5359.186,0.0
0,0.008,2.1e-05,1.5e-05,1986687,1614798,9,0,75348,75347,2,0.003,0.001,0.025,0,45,71998654,382,60,60.0,0.136,0.14,123.358,3421440,5360.796,0.0
0,0.008,2.1e-05,1.5e-05,1987218,1615135,9,0,75368,75367,2,0.003,0.001,0.025,0,45,71998657,382,60,60.0,0.207,0.14,123.386,3421444,5361.146,0.0
0,0.008,2.1e-05,1.5e-05,1988322,1615700,9,0,75409,75408,2,0.003,0.0,0.025,0,45,71998655,382,60,60.0,0.074,0.13,123.428,3421444,5362.185,0.0
0,0.008,2.1e-05,1.5e-05,1989900,1616290,9,0,75455,75454,2,0.003,0.0,0.025,0,45,71998653,382,60,60.0,0.109,0.13,123.472,3421444,5364.092,0.0
0,0.008,2.1e-05,1.5e-05,1990111,1616569,9,0,75469,75468,2,0.003,0.001,0.025,0,45,71998652,382,60,60.0,0.303,0.13,123.495,3421192,5364.142,0.0
0,0.007,2.1e-05,1.5e-05,1991519,1617202,9,0,75515,75514,2,0.003,0.001,0.025,0,45,71998652,382,60,60.0,0.157,0.13,123.541,3421212,5365.431,0.0
0,0.007,2.1e-05,1.5e-05,1993098,1617792,9,0,75561,75560,2,0.003,0.0,0.025,0,45,71998652,382,60,60.0,0.29,0.13,123.586,3421212,5367.392,0.0
0,0.007,2.1e-05,1.5e-05,1993266,1618061,9,0,75573,75572,2,0.003,0.001,0.025,0,45,71998652,382,60,60.0,0.253,0.12,123.607,3421212,5367.392,0.0
0,0.007,2.1e-05,1.5e-05,1994022,1618527,9,0,75605,75602,2,0.003,0.001,0.025,0,45,71998651,382,60,60.0,0.186,0.12,123.642,3421212,5368.192,0.0
0,0.007,2.1e-05,1.5e-05,1995250,1619045,9,0,75641,75640,2,0.003,0.001,0.025,0,45,71998651,382,60,60.0,0.285,0.12,123.681,3421212,5369.183,0.0
0,0.007,2.1e-05,1.4e-05,1996370,1619491,9,0,75672,75671,2,0.003,0.001,0.025,0,45,71998653,382,60,60.0,0.128,0.12,123.714,3421212,5370.622,0.0
0,0.007,2.1e-05,1.4e-05,1997020,1619899,9,0,75698,75697,2,0.003,0.0,0.025,0,45,71998652,382,60,60.0,0.289,0.12,123.745,3421212,5371.172,0.0
0,0.007,2.1e-05,1.4e-05,1998208,1620427,9,0,75736,75735,2,0.003,0.001,0.025,0,45,71998652,382,60,60.0,0.046,0.11,123.786,3421212,5372.16,0.0
0,0.007,2.1e-05,1.4e-05,1999546,1620944,9,0,75776,75775,2,0.003,0.001,0.025,0,45,71998650,382,60,60.0,0.296,0.11,123.827,3421212,5373.92,0.0
0,0.007,2.1e-05,1.4e-05,2000037,1621286,9,0,75794,75793,2,0.003,0.001,0.025,0,45,71998648,382,60,60.0,0.343,0.11,123.853,3420960,5374.17,0.0
0,0.007,2.1e-05,1.5e-05,2001154,1621885,9,0,75836,75835,2,0.003,0.0,0.025,0,45,71998647,382,60,60.0,0.241,0.11,123.893,3421004,5375.257,0.0
0,0.007,2.1e-05,1.5e-05,2002716,1622441,9,0,75881,75880,2,0.003,0.0,0.025,0,45,71998646,382,60,60.0,0.225,0.11,123.936,3421004,5377.215,0.0
0,0.007,2.1e-05,1.5e-05,2002900,1622734,9,0,75892,75891,2,0.003,0.001,0.025,0,45,71998647,382,60,60.0,0.042,0.1,123.958,3421004,5377.215,0.0
